Language	Canonical	Variant	Category
NL	SMA	simple moving average	acronym
NL	SMA	SMA lijn	acronym
EN	VWAP	V W A P	acronym
EN	VWAP	view wap	acronym
EN	VWAP	volume weighted average price	acronym
DE	VWAP	V W A P	acronym
DE	VWAP	wi wap	acronym
DE	VWAP	volumengewichteter Durchschnittspreis	acronym
ES	VWAP	V W A P	acronym
ES	VWAP	vi wap	acronym
ES	VWAP	precio medio ponderado por volumen	acronym
NL	VWAP	V W A P	acronym
NL	VWAP	view wap	acronym
NL	VWAP	volume weighted average price	acronym
EN	ATR	A T R	acronym
EN	ATR	average true range	acronym
EN	ATR	ATR indicator	acronym
DE	ATR	A T R	acronym
DE	ATR	Average True Range	acronym
DE	ATR	ATR Indikator	acronym
ES	ATR	A T R	acronym
ES	ATR	rango verdadero medio	acronym
ES	ATR	indicador ATR	acronym
NL	ATR	A T R	acronym
NL	ATR	average true range	acronym
NL	ATR	ATR indicator	acronym
EN	EUR/USD	euro dollar	pair_spoken
EN	EUR/USD	euro slash dollar	pair_spoken
EN	EUR/USD	euro versus dollar	pair_spoken
EN	EUR/USD	E U R slash U S D	pair_spoken
EN	EUR/USD	euro U S dollar	pair_spoken
DE	EUR/USD	Euro Dollar	pair_spoken
DE	EUR/USD	Euro gegen Dollar	pair_spoken
DE	EUR/USD	Euro slash Dollar	pair_spoken
DE	EUR/USD	E U R slash U S D	pair_spoken
DE	EUR/USD	Euro US-Dollar	pair_spoken
ES	EUR/USD	euro dólar	pair_spoken
ES	EUR/USD	euro contra dólar	pair_spoken
ES	EUR/USD	euro slash dólar	pair_spoken
ES	EUR/USD	E U R slash U S D	pair_spoken
ES	EUR/USD	euro dólar estadounidense	pair_spoken
NL	EUR/USD	euro dollar	pair_spoken
NL	EUR/USD	euro tegen dollar	pair_spoken
NL	EUR/USD	euro slash dollar	pair_spoken
NL	EUR/USD	E U R slash U S D	pair_spoken
NL	EUR/USD	euro Amerikaanse dollar	pair_spoken
EN	USD/JPY	dollar yen	pair_spoken
EN	USD/JPY	U S dollar yen	pair_spoken
EN	USD/JPY	dollar slash yen	pair_spoken
EN	USD/JPY	U S D slash J P Y	pair_spoken
EN	USD/JPY	US dollar Japanese yen	pair_spoken
DE	USD/JPY	Dollar Yen	pair_spoken
DE	USD/JPY	US-Dollar Yen	pair_spoken
DE	USD/JPY	Dollar slash Yen	pair_spoken
DE	USD/JPY	U S D slash J P Y	pair_spoken
DE	USD/JPY	US-Dollar japanischer Yen	pair_spoken
ES	USD/JPY	dólar yen	pair_spoken
ES	USD/JPY	dólar estadounidense yen	pair_spoken
ES	USD/JPY	dólar slash yen	pair_spoken
ES	USD/JPY	U S D slash J P Y	pair_spoken
ES	USD/JPY	dólar estadounidense yen japonés	pair_spoken
NL	USD/JPY	dollar yen	pair_spoken
NL	USD/JPY	Amerikaanse dollar yen	pair_spoken
NL	USD/JPY	dollar slash yen	pair_spoken
NL	USD/JPY	U S D slash J P Y	pair_spoken
NL	USD/JPY	US dollar Japanse yen	pair_spoken
EN	GBP/USD	pound dollar	pair_spoken
EN	GBP/USD	pound slash dollar	pair_spoken
EN	GBP/USD	sterling dollar	pair_spoken
EN	GBP/USD	G B P slash U S D	pair_spoken
EN	GBP/USD	British pound US dollar	pair_spoken
DE	GBP/USD	Pfund Dollar	pair_spoken
DE	GBP/USD	Pfund slash Dollar	pair_spoken
DE	GBP/USD	Sterling Dollar	pair_spoken
DE	GBP/USD	G B P slash U S D	pair_spoken
DE	GBP/USD	Britisches Pfund US-Dollar	pair_spoken
ES	GBP/USD	libra dólar	pair_spoken
ES	GBP/USD	libra contra dólar	pair_spoken
ES	GBP/USD	libra slash dólar	pair_spoken
ES	GBP/USD	G B P slash U S D	pair_spoken
ES	GBP/USD	libra esterlina dólar	pair_spoken
NL	GBP/USD	pond dollar	pair_spoken
NL	GBP/USD	pond slash dollar	pair_spoken
NL	GBP/USD	sterling dollar	pair_spoken
NL	GBP/USD	G B P slash U S D	pair_spoken
NL	GBP/USD	Britse pond US dollar	pair_spoken
EN	BTC/USDT	bitcoin tether	pair_spoken
EN	BTC/USDT	bitcoin U S D T	pair_spoken
EN	BTC/USDT	B T C slash U S D T	pair_spoken
EN	BTC/USDT	bitcoin slash tether	pair_spoken
EN	BTC/USDT	BTC USDT	pair_spoken
DE	BTC/USDT	Bitcoin Tether	pair_spoken
DE	BTC/USDT	Bitcoin U S D T	pair_spoken
DE	BTC/USDT	B T C slash U S D T	pair_spoken
DE	BTC/USDT	Bitcoin slash Tether	pair_spoken
DE	BTC/USDT	BTC USDT	pair_spoken
ES	BTC/USDT	bitcoin tether	pair_spoken
ES	BTC/USDT	bitcoin U S D T	pair_spoken
ES	BTC/USDT	B T C slash U S D T	pair_spoken
ES	BTC/USDT	bitcoin contra tether	pair_spoken
ES	BTC/USDT	BTC USDT	pair_spoken
NL	BTC/USDT	bitcoin tether	pair_spoken
NL	BTC/USDT	bitcoin U S D T	pair_spoken
NL	BTC/USDT	B T C slash U S D T	pair_spoken
NL	BTC/USDT	bitcoin slash tether	pair_spoken
NL	BTC/USDT	BTC USDT	pair_spoken
EN	ETH/USDT	ether tether	pair_spoken
EN	ETH/USDT	ethereum tether	pair_spoken
EN	ETH/USDT	E T H slash U S D T	pair_spoken
EN	ETH/USDT	ETH USDT	pair_spoken
DE	ETH/USDT	Ether Tether	pair_spoken
DE	ETH/USDT	Ethereum Tether	pair_spoken
DE	ETH/USDT	E T H slash U S D T	pair_spoken
DE	ETH/USDT	ETH USDT	pair_spoken
ES	ETH/USDT	ether tether	pair_spoken
ES	ETH/USDT	ethereum tether	pair_spoken
ES	ETH/USDT	E T H slash U S D T	pair_spoken
ES	ETH/USDT	ETH USDT	pair_spoken
NL	ETH/USDT	ether tether	pair_spoken
NL	ETH/USDT	ethereum tether	pair_spoken
NL	ETH/USDT	E T H slash U S D T	pair_spoken
NL	ETH/USDT	ETH USDT	pair_spoken
EN	1m	one minute	timeframe
EN	1m	1 minute	timeframe
EN	1m	one min	timeframe
EN	1m	one m	timeframe
DE	1m	eine Minute	timeframe
DE	1m	1 Minute	timeframe
DE	1m	ein Minuten	timeframe
DE	1m	eins m	timeframe
ES	1m	un minuto	timeframe
ES	1m	1 minuto	timeframe
ES	1m	uno minuto	timeframe
NL	1m	één minuut	timeframe
NL	1m	1 minuut	timeframe
NL	1m	een minuut	timeframe
NL	1m	één m	timeframe
EN	5m	five minutes	timeframe
EN	5m	5 minutes	timeframe
EN	5m	five min	timeframe
EN	5m	five m	timeframe
DE	5m	fünf Minuten	timeframe
DE	5m	5 Minuten	timeframe
DE	5m	fünf m	timeframe
ES	5m	cinco minutos	timeframe
ES	5m	5 minutos	timeframe
ES	5m	cinco m	timeframe
NL	5m	vijf minuten	timeframe
NL	5m	5 minuten	timeframe
NL	5m	vijf m	timeframe
EN	15m	fifteen minutes	timeframe
EN	15m	15 minutes	timeframe
EN	15m	fifteen min	timeframe
DE	15m	fünfzehn Minuten	timeframe
DE	15m	15 Minuten	timeframe
ES	15m	quince minutos	timeframe
ES	15m	15 minutos	timeframe
NL	15m	vijftien minuten	timeframe
NL	15m	15 minuten	timeframe
EN	1h	one hour	timeframe
EN	1h	1 hour	timeframe
EN	1h	one h	timeframe
DE	1h	eine Stunde	timeframe
DE	1h	1 Stunde	timeframe
DE	1h	ein h	timeframe
ES	1h	una hora	timeframe
ES	1h	1 hora	timeframe
NL	1h	één uur	timeframe
NL	1h	1 uur	timeframe
EN	4h	four hours	timeframe
EN	4h	4 hours	timeframe
EN	4h	four h	timeframe
DE	4h	vier Stunden	timeframe
DE	4h	4 Stunden	timeframe
ES	4h	cuatro horas	timeframe
ES	4h	4 horas	timeframe
NL	4h	vier uur	timeframe
NL	4h	4 uur	timeframe
EN	1D	daily	timeframe
EN	1D	one day	timeframe
EN	1D	day chart	timeframe
DE	1D	daily	timeframe
DE	1D	Tageschart	timeframe
DE	1D	ein Tag	timeframe
ES	1D	diario	timeframe
ES	1D	un día	timeframe
NL	1D	daily	timeframe
NL	1D	daggrafiek	timeframe
NL	1D	één dag	timeframe
EN	Stop loss	stop	utterance
EN	Stop loss	stop-loss	utterance
EN	Stop loss	S L	utterance
DE	Stop loss	stop	utterance
DE	Stop loss	Stop-Loss	utterance
DE	Stop loss	S L	utterance
ES	Stop loss	stop	utterance
ES	Stop loss	stop loss	utterance
ES	Stop loss	S L	utterance
NL	Stop loss	stop	utterance
NL	Stop loss	stop loss	utterance
NL	Stop loss	S L	utterance
EN	Take profit	TP	utterance
EN	Take profit	take-profit	utterance
EN	Take profit	target	utterance
DE	Take profit	TP	utterance
DE	Take profit	Take-Profit	utterance
DE	Take profit	Ziel	utterance
ES	Take profit	TP	utterance
ES	Take profit	take profit	utterance
ES	Take profit	objetivo	utterance
NL	Take profit	TP	utterance
NL	Take profit	take profit	utterance
NL	Take profit	doel	utterance
EN	Break even	breakeven	utterance
EN	Break even	B E	utterance
EN	Break even	break even	utterance
DE	Break even	Einstand	utterance
DE	Break even	Break-even	utterance
DE	Break even	B E	utterance
ES	Break even	break even	utterance
ES	Break even	punto de equilibrio	utterance
ES	Break even	B E	utterance
NL	Break even	break-even	utterance
NL	Break even	break even	utterance
NL	Break even	B E	utterance
